Date;3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal;3697 - Taxa de câmbio - Livre - Dólar americano (compra) - Média de período - mensal;3698 - Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal
mar/12;18.215;18.221;17.947;17.953
abr/12;18.912;18.918;18.542;18.548
mai/12;20.217;20.223;19.854;19.860
jun/12;20.207;20.213;20.486;20.492
jul/12;20.494;20.499;20.282;20.287
ago/12;20.366;20.372;20.289;20.294
set/12;20.300;20.306;20.275;20.281
out/12;20.308;20.313;20.293;20.298
nov/12;21.068;21.074;20.672;20.678
dez/12;20.429;20.435;20.772;20.778
jan/13;19.877;19.883;20.305;20.311
fev/13;19.749;19.754;19.727;19.733
mar/13;20.132;20.138;19.823;19.828
abr/13;20.011;20.017;20.016;20.022
mai/13;21.314;21.319;20.343;20.348
jun/13;22.150;22.156;21.724;21.730
jul/13;22.897;22.903;22.516;22.522
ago/13;23.719;23.725;23.416;23.422
set/13;22.294;22.300;22.699;22.705
out/13;22.020;22.026;21.881;21.886
nov/13;23.243;23.249;22.947;22.954
dez/13;23.420;23.426;23.449;23.455
jan/14;24.257;24.263;23.816;23.822
fev/14;23.327;23.334;23.831;23.837
mar/14;22.624;22.630;23.255;23.261
abr/14;22.354;22.360;22.322;22.328
mai/14;22.384;22.390;22.203;22.209
jun/14;22.019;22.025;22.349;22.355
jul/14;22.668;22.674;22.240;22.246
ago/14;22.390;22.396;22.674;22.680
set/14;24.504;24.510;23.323;23.329
out/14;24.436;24.442;24.476;24.483
nov/14;25.595;25.601;25.477;25.484
dez/14;26.556;26.562;26.387;26.394
jan/15;26.617;26.623;26.336;26.342
fev/15;28.777;28.782;28.158;28.165
mar/15;32.074;32.080;31.389;31.395
abr/15;29.930;29.936;30.426;30.432
mai/15;31.781;31.788;30.611;30.617
jun/15;31.019;31.026;31.111;31.117
jul/15;33.934;33.940;32.225;32.231
ago/15;36.461;36.467;35.137;35.143
set/15;39.722;39.729;39.058;39.065
out/15;38.582;38.589;38.795;38.801
nov/15;38.499;38.506;37.758;37.765
dez/15;39.042;39.048;38.705;38.711
jan/16;40.422;40.428;40.517;40.524
fev/16;39.790;39.796;39.731;39.737
mar/16;35.583;35.589;37.033;37.039
abr/16;34.502;34.508;35.652;35.658
mai/16;35.945;35.951;35.387;35.393
jun/16;32.092;32.098;34.239;34.245
jul/16;32.384;32.390;32.750;32.756
ago/16;32.397;32.403;32.091;32.097
set/16;32.456;32.462;32.558;32.564
out/16;31.805;31.811;31.852;31.858
nov/16;33.961;33.967;33.414;33.420
dez/16;32.585;32.591;33.517;33.523
jan/17;31.264;31.270;31.960;31.966
fev/17;30.987;30.993;31.036;31.042
mar/17;31.678;31.684;31.273;31.279
abr/17;31.978;31.984;31.356;31.362
mai/17;32.431;32.437;32.087;32.095
jun/17;33.076;33.082;32.948;32.954
