Date;4390 - Taxa de juros - Selic acumulada no mês
mar/12;0.82
abr/12;0.71
mai/12;0.74
jun/12;0.64
jul/12;0.68
ago/12;0.69
set/12;0.54
out/12;0.61
nov/12;0.55
dez/12;0.55
jan/13;0.60
fev/13;0.49
mar/13;0.55
abr/13;0.61
mai/13;0.60
jun/13;0.61
jul/13;0.72
ago/13;0.71
set/13;0.71
out/13;0.81
nov/13;0.72
dez/13;0.79
jan/14;0.85
fev/14;0.79
mar/14;0.77
abr/14;0.82
mai/14;0.87
jun/14;0.82
jul/14;0.95
ago/14;0.87
set/14;0.91
out/14;0.95
nov/14;0.84
dez/14;0.96
jan/15;0.94
fev/15;0.82
mar/15;1.04
abr/15;0.95
mai/15;0.99
jun/15;1.07
jul/15;1.18
ago/15;1.11
set/15;1.11
out/15;1.11
nov/15;1.06
dez/15;1.16
jan/16;1.06
fev/16;1.00
mar/16;1.16
abr/16;1.06
mai/16;1.11
jun/16;1.16
jul/16;1.11
ago/16;1.22
set/16;1.11
out/16;1.05
nov/16;1.04
dez/16;1.12
jan/17;1.09
fev/17;0.87
mar/17;1.05
abr/17;0.79
mai/17;0.93
jun/17;0.81
jul/17;0.80
ago/17;0.80
set/17;0.64
out/17;0.64
nov/17;0.57
dez/17;0.54
jan/18;0.58
fev/18;0.47
mar/18;0.53
abr/18;0.52
mai/18;0.52
jun/18;0.52
jul/18;0.54
ago/18;0.57
set/18;0.47
out/18;0.54
nov/18;0.49
dez/18;0.49
jan/19;0.54
fev/19;0.49
mar/19;0.47
abr/19;0.52
mai/19;0.54
jun/19;0.47
jul/19;0.57
ago/19;0.50
set/19;0.46
out/19;0.48
nov/19;0.38
dez/19;0.37
jan/20;0.38
fev/20;0.29
mar/20;0.34
abr/20;0.28
mai/20;0.24
jun/20;0.21
jul/20;0.19
ago/20;0.16
set/20;0.16
out/20;0.16
nov/20;0.15
dez/20;0.16
jan/21;0.15
fev/21;0.13
mar/21;0.20
abr/21;0.21
mai/21;0.27
jun/21;0.31
jul/21;0.36
ago/21;0.43
set/21;0.44
out/21;0.49
nov/21;0.59
dez/21;0.77
jan/22;0.73
fev/22;0.76
mar/22;0.93
abr/22;0.83
mai/22;1.03
jun/22;1.02
jul/22;1.03
ago/22;1.17
set/22;1.07
out/22;1.02
nov/22;1.02
dez/22;1.12
jan/23;1.12
fev/23;0.92
mar/23;1.17
abr/23;0.92
mai/23;1.12
jun/23;1.07
jul/23;1.07
ago/23;1.14
set/23;0.97
out/23;1.00
nov/23;0.92
dez/23;0.89
jan/24;0.97
fev/24;0.80
mar/24;0.83
abr/24;0.89
mai/24;0.83
jun/24;0.79
jul/24;0.91
ago/24;0.87
set/24;0.84
out/24;0.93
nov/24;0.79
dez/24;0.93
jan/25;1.01
fev/25;0.99
mar/25;0.96
abr/25;1.06
mai/25;1.14
jun/25;1.10
jul/25;1.28
ago/25;1.16
Source;BCB-Demab
