Data;29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %
03/2012;36,87
04/2012;36,99
05/2012;37,21
06/2012;37,42
07/2012;37,54
08/2012;37,71
09/2012;37,49
10/2012;37,69
11/2012;37,88
12/2012;38,04
01/2013;38,17
02/2013;38,21
03/2013;38,10
04/2013;38,25
05/2013;38,38
06/2013;38,37
07/2013;38,54
08/2013;38,66
09/2013;38,46
10/2013;38,35
11/2013;38,37
12/2013;38,36
01/2014;38,36
02/2014;38,29
03/2014;38,18
04/2014;38,17
05/2014;38,34
06/2014;38,52
07/2014;38,61
08/2014;38,68
09/2014;38,78
10/2014;39,00
11/2014;39,01
12/2014;39,29
01/2015;39,64
02/2015;39,64
03/2015;39,74
04/2015;40,03
05/2015;40,05
06/2015;40,13
07/2015;40,42
08/2015;40,61
09/2015;40,84
10/2015;40,87
11/2015;40,60
12/2015;40,09
01/2016;40,06
02/2016;39,70
03/2016;39,55
04/2016;39,28
05/2016;39,22
06/2016;39,07
07/2016;38,88
08/2016;38,78
09/2016;38,53
10/2016;38,28
11/2016;38,31
12/2016;38,20
01/2017;38,05
02/2017;37,92
03/2017;37,83
04/2017;37,50
05/2017;37,42
06/2017;37,37
07/2017;37,37
08/2017;37,41
09/2017;37,28
10/2017;37,34
11/2017;37,42
12/2017;37,27
01/2018;37,31
02/2018;37,29
03/2018;37,32
04/2018;37,55
05/2018;37,84
06/2018;37,94
07/2018;37,91
08/2018;38,09
09/2018;38,11
10/2018;38,38
11/2018;38,85
12/2018;39,06
01/2019;39,29
02/2019;39,55
03/2019;39,60
04/2019;39,82
05/2019;40,12
06/2019;40,56
07/2019;40,73
08/2019;41,13
09/2019;41,22
10/2019;41,35
11/2019;41,58
12/2019;41,47
01/2020;41,51
02/2020;41,46
03/2020;41,55
04/2020;40,86
05/2020;40,03
06/2020;39,37
07/2020;39,23
08/2020;39,20
09/2020;39,59
10/2020;40,20
11/2020;41,03
12/2020;41,75
01/2021;42,06
02/2021;42,25
03/2021;42,43
04/2021;42,88
05/2021;43,83
06/2021;44,52
07/2021;45,18
08/2021;46,43
09/2021;47,47
10/2021;48,16
11/2021;48,92
12/2021;49,44
01/2022;49,60
02/2022;49,47
03/2022;49,52
04/2022;49,60
05/2022;49,49
06/2022;49,62
07/2022;49,88
08/2022;49,59
09/2022;49,48
10/2022;49,66
11/2022;49,41
12/2022;49,00
01/2023;48,95
02/2023;48,66
03/2023;48,58
04/2023;48,51
05/2023;48,83
06/2023;48,40
07/2023;47,98
08/2023;48,17
09/2023;48,06
10/2023;48,13
11/2023;48,13
12/2023;47,69
01/2024;47,84
02/2024;47,78
03/2024;47,76
04/2024;47,71
05/2024;47,58
06/2024;47,67
07/2024;47,85
08/2024;48,06
09/2024;48,03
10/2024;48,08
11/2024;48,30
12/2024;48,44
01/2025;48,63
02/2025;48,61
03/2025;48,97
04/2025;48,88
05/2025;48,88
06/2025;48,81
07/2025;48,47
08/2025;48,91
Fonte;BCB-DSTAT
