Data;20714 - Taxa média de juros das operações de crédito - Total - % a.a.;20715 - Taxa média de juros das operações de crédito - Pessoas jurídicas - Total - % a.a.;20716 - Taxa média de juros das operações de crédito - Pessoas físicas - Total - % a.a.
03/2012;26,54 ;18,49 ;35,01
04/2012;25,96 ;18,04 ;34,30
05/2012;24,36 ;16,77 ;32,34
06/2012;23,62 ;16,04 ;31,58
07/2012;23,03 ;15,70 ;30,71
08/2012;22,54 ;15,54 ;29,84
09/2012;22,30 ;15,17 ;29,78
10/2012;21,72 ;14,70 ;29,05
11/2012;21,47 ;14,77 ;28,47
12/2012;20,39 ;13,82 ;27,32
01/2013;20,84 ;14,57 ;27,38
02/2013;21,18 ;14,65 ;27,96
03/2013;20,93 ;14,65 ;27,42
04/2013;20,83 ;14,61 ;27,21
05/2013;20,57 ;14,34 ;26,93
06/2013;20,85 ;14,73 ;27,06
07/2013;21,28 ;14,96 ;27,62
08/2013;21,46 ;15,20 ;27,73
09/2013;21,61 ;15,27 ;28,01
10/2013;21,98 ;15,39 ;28,62
11/2013;22,21 ;15,73 ;28,71
12/2013;21,87 ;15,64 ;28,19
01/2014;22,84 ;16,52 ;29,18
02/2014;23,38 ;16,62 ;30,14
03/2014;23,53 ;16,53 ;30,53
04/2014;23,41 ;16,68 ;30,14
05/2014;23,59 ;16,81 ;30,34
06/2014;23,46 ;16,37 ;30,50
07/2014;23,70 ;16,66 ;30,66
08/2014;23,61 ;16,43 ;30,67
09/2014;23,26 ;16,46 ;29,95
10/2014;23,79 ;16,67 ;30,75
11/2014;23,87 ;16,66 ;30,87
12/2014;23,39 ;16,60 ;30,02
01/2015;24,60 ;17,54 ;31,39
02/2015;25,32 ;18,13 ;32,23
03/2015;25,51 ;18,20 ;32,51
04/2015;26,13 ;18,64 ;33,24
05/2015;26,73 ;18,85 ;34,18
06/2015;27,25 ;19,19 ;34,87
07/2015;28,05 ;19,74 ;35,81
08/2015;28,55 ;20,17 ;36,37
09/2015;29,06 ;20,73 ;36,85
10/2015;29,85 ;21,17 ;37,90
11/2015;30,13 ;21,29 ;38,25
12/2015;29,38 ;20,77 ;37,36
01/2016;31,03 ;22,49 ;38,87
02/2016;31,52 ;22,74 ;39,46
03/2016;31,71 ;22,21 ;40,19
04/2016;32,13 ;22,00 ;41,02
05/2016;32,23 ;21,68 ;41,39
06/2016;32,08 ;21,68 ;41,05
07/2016;32,54 ;22,18 ;41,32
08/2016;32,69 ;22,25 ;41,41
09/2016;32,71 ;21,48 ;42,05
10/2016;32,99 ;21,80 ;42,24
11/2016;32,80 ;21,21 ;42,27
12/2016;31,81 ;20,29 ;41,18
01/2017;32,54 ;21,39 ;41,41
02/2017;31,78 ;20,42 ;40,71
03/2017;31,72 ;20,32 ;40,58
04/2017;29,82 ;19,48 ;37,83
05/2017;28,74 ;19,27 ;35,98
06/2017;28,52 ;18,89 ;35,78
07/2017;28,95 ;19,11 ;36,33
08/2017;28,47 ;18,88 ;35,51
09/2017;26,85 ;17,62 ;33,57
10/2017;27,36 ;18,36 ;33,84
11/2017;26,82 ;17,89 ;33,17
12/2017;25,49 ;16,96 ;31,55
01/2018;25,98 ;17,81 ;31,88
02/2018;26,56 ;17,86 ;32,77
03/2018;25,88 ;16,55 ;32,53
04/2018;25,61 ;15,95 ;32,48
05/2018;24,64 ;15,79 ;30,90
06/2018;24,31 ;15,59 ;30,46
07/2018;24,14 ;15,86 ;29,99
08/2018;24,10 ;15,87 ;29,85
09/2018;24,09 ;15,83 ;29,79
10/2018;24,38 ;16,19 ;29,94
11/2018;24,37 ;15,98 ;29,98
12/2018;23,05 ;14,87 ;28,62
01/2019;24,46 ;16,26 ;29,98
02/2019;24,79 ;15,96 ;30,61
03/2019;25,07 ;15,94 ;31,08
04/2019;25,13 ;15,98 ;31,08
05/2019;24,96 ;15,75 ;30,94
06/2019;24,85 ;15,07 ;31,10
07/2019;24,74 ;15,18 ;30,79
08/2019;24,85 ;15,07 ;30,92
09/2019;24,07 ;14,18 ;30,22
10/2019;23,58 ;14,09 ;29,45
11/2019;23,66 ;13,82 ;29,70
12/2019;22,66 ;13,54 ;28,27
01/2020;23,17 ;15,00 ;28,12
02/2020;23,14 ;13,92 ;28,71
03/2020;22,76 ;13,80 ;28,32
04/2020;21,37 ;13,15 ;26,80
05/2020;20,54 ;12,22 ;26,11
06/2020;19,14 ;10,93 ;24,61
07/2020;18,91 ;10,72 ;24,27
08/2020;18,49 ;10,87 ;23,52
09/2020;17,95 ;10,08 ;23,09
10/2020;18,52 ;10,76 ;23,57
11/2020;18,39 ;10,96 ;23,13
12/2020;18,24 ;11,24 ;22,65
01/2021;19,90 ;13,63 ;23,80
02/2021;19,62 ;12,32 ;24,16
03/2021;19,79 ;12,31 ;24,48
04/2021;20,26 ;13,04 ;24,75
05/2021;19,79 ;12,75 ;24,11
06/2021;19,92 ;12,93 ;24,18
07/2021;20,30 ;13,87 ;24,15
08/2021;20,97 ;14,67 ;24,68
09/2021;21,46 ;15,11 ;25,24
10/2021;22,93 ;16,83 ;26,51
11/2021;23,95 ;17,96 ;27,42
12/2021;24,26 ;17,54 ;28,20
01/2022;25,24 ;18,57 ;29,10
02/2022;25,63 ;18,63 ;29,66
03/2022;26,55 ;18,83 ;31,00
04/2022;27,47 ;20,52 ;31,46
05/2022;27,43 ;19,38 ;32,04
06/2022;27,89 ;19,67 ;32,60
07/2022;29,25 ;21,44 ;33,68
08/2022;28,63 ;18,99 ;34,01
09/2022;28,60 ;19,35 ;33,74
10/2022;29,71 ;19,66 ;35,26
11/2022;30,55 ;20,19 ;36,14
12/2022;29,68 ;20,05 ;34,92
01/2023;30,54 ;21,80 ;35,27
02/2023;30,48 ;20,87 ;35,58
03/2023;30,99 ;21,05 ;36,19
04/2023;31,62 ;20,87 ;37,19
05/2023;31,63 ;20,61 ;37,27
06/2023;30,84 ;19,62 ;36,58
07/2023;30,43 ;19,46 ;36,02
08/2023;29,91 ;19,14 ;35,37
09/2023;29,66 ;19,52 ;34,81
10/2023;29,24 ;19,52 ;34,17
11/2023;29,01 ;19,03 ;34,00
12/2023;28,13 ;18,09 ;33,20
01/2024;27,99 ;19,47 ;32,25
02/2024;27,84 ;18,69 ;32,34
03/2024;28,13 ;18,56 ;32,83
04/2024;27,86 ;18,22 ;32,59
05/2024;27,74 ;17,89 ;32,52
06/2024;27,81 ;18,09 ;32,54
07/2024;27,74 ;18,13 ;32,41
08/2024;27,59 ;18,13 ;32,11
09/2024;27,48 ;17,45 ;32,29
10/2024;27,93 ;18,64 ;32,39
11/2024;28,44 ;19,04 ;32,93
12/2024;28,50 ;19,04 ;33,07
01/2025;29,86 ;21,17 ;34,01
02/2025;30,42 ;20,43 ;35,19
03/2025;31,16 ;21,72 ;35,61
04/2025;31,41 ;21,39 ;36,11
05/2025;31,59 ;20,99 ;36,46
06/2025;31,71 ;21,06 ;36,64
07/2025;31,58 ;21,59 ;36,16
08/2025;31,70 ;21,50 ;36,36
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
