Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice;29039 - Índice de Commodities - Brasil - Energia (em US Dólares) - Índice;29040 - Índice de Commodities - Brasil - Metal (em US Dólares) - Índice;29041 - Índice de Commodities - Brasil - Agropecuária (em US Dólares) - Índice;29042 - Índice de Commodities - Brasil (em US Dólares) - Índice;29601 - Índice de Atividade Econômica do Banco Central (IBC-Br) Agropecuária - Índice
03/2012;102,72511 ;98,39384 ;75,10 ;168,28 ;158,25 ;145,32 ;105,31030
04/2012;98,16361 ;98,89183 ;72,00 ;162,90 ;152,90 ;140,37 ;96,03681
05/2012;101,46927 ;100,02149 ;69,75 ;153,70 ;145,13 ;133,41 ;76,09842
06/2012;99,86733 ;100,75288 ;65,39 ;146,89 ;140,82 ;128,65 ;85,46917
07/2012;103,50496 ;100,91563 ;70,72 ;144,88 ;156,33 ;139,49 ;108,41678
08/2012;105,22373 ;101,24514 ;73,56 ;145,05 ;156,96 ;140,49 ;82,28986
09/2012;99,38998 ;100,79101 ;74,70 ;161,29 ;156,74 ;143,05 ;61,78834
10/2012;103,67899 ;101,67548 ;78,06 ;159,62 ;153,78 ;141,44 ;54,16196
11/2012;101,18517 ;101,53895 ;78,46 ;157,50 ;152,59 ;140,45 ;55,15868
12/2012;97,92973 ;101,12315 ;76,04 ;165,17 ;153,28 ;141,64 ;58,01584
01/2013;97,79223 ;101,73674 ;75,53 ;167,90 ;153,15 ;141,91 ;62,92408
02/2013;95,55747 ;100,83422 ;76,87 ;168,00 ;151,93 ;141,40 ;101,68359
03/2013;103,89166 ;101,76892 ;76,91 ;158,06 ;149,69 ;138,37 ;132,49774
04/2013;105,14289 ;102,82854 ;77,67 ;148,16 ;146,31 ;134,73 ;124,12527
05/2013;103,20189 ;103,07017 ;76,76 ;143,26 ;144,68 ;132,73 ;76,88483
06/2013;101,69033 ;102,75696 ;73,52 ;139,30 ;143,18 ;130,51 ;81,14576
07/2013;106,78074 ;103,04886 ;73,35 ;135,75 ;141,01 ;128,52 ;103,52614
08/2013;106,55747 ;103,37248 ;72,32 ;145,10 ;139,11 ;128,53 ;82,32630
09/2013;103,37096 ;103,82973 ;75,31 ;145,25 ;139,99 ;129,78 ;63,75398
10/2013;106,62469 ;103,91165 ;76,31 ;147,08 ;140,84 ;130,85 ;55,65213
11/2013;103,73695 ;104,14968 ;75,50 ;143,62 ;138,48 ;128,61 ;57,41161
12/2013;102,32046 ;104,47619 ;80,35 ;144,15 ;138,16 ;129,45 ;63,06880
01/2014;100,17595 ;104,04515 ;80,26 ;143,54 ;139,10 ;129,98 ;66,79516
