Category: All categories

Month,Seguro desemprego: (Brazil)
2012-03,31
2012-04,28
2012-05,29
2012-06,25
2012-07,27
2012-08,25
2012-09,23
2012-10,24
2012-11,23
2012-12,23
2013-01,31
2013-02,26
2013-03,27
2013-04,27
2013-05,25
2013-06,25
2013-07,26
2013-08,25
2013-09,24
2013-10,28
2013-11,23
2013-12,22
2014-01,33
2014-02,30
2014-03,32
2014-04,30
2014-05,30
2014-06,29
2014-07,32
2014-08,30
2014-09,30
2014-10,32
2014-11,33
2014-12,36
2015-01,55
2015-02,50
2015-03,56
2015-04,61
2015-05,57
2015-06,54
2015-07,49
2015-08,43
2015-09,43
2015-10,42
2015-11,50
2015-12,39
2016-01,41
2016-02,45
2016-03,42
2016-04,42
2016-05,43
2016-06,49
2016-07,40
2016-08,34
2016-09,31
2016-10,35
2016-11,36
2016-12,33
2017-01,48
2017-02,38
2017-03,42
2017-04,36
2017-05,38
2017-06,33
2017-07,33
2017-08,32
2017-09,31
2017-10,32
2017-11,31
2017-12,29
2018-01,38
2018-02,39
2018-03,37
2018-04,41
2018-05,37
2018-06,35
2018-07,34
2018-08,33
2018-09,28
2018-10,31
2018-11,31
2018-12,31
2019-01,40
2019-02,40
2019-03,37
2019-04,38
2019-05,37
2019-06,36
2019-07,39
2019-08,34
2019-09,31
2019-10,31
2019-11,33
2019-12,29
2020-01,42
2020-02,38
2020-03,48
2020-04,100
2020-05,80
2020-06,48
2020-07,51
2020-08,43
2020-09,42
2020-10,44
2020-11,34
2020-12,26
2021-01,36
2021-02,33
2021-03,34
2021-04,30
2021-05,29
2021-06,26
2021-07,25
2021-08,24
2021-09,22
2021-10,21
2021-11,20
2021-12,21
2022-01,34
2022-02,31
2022-03,30
2022-04,27
2022-05,28
2022-06,27
2022-07,26
2022-08,25
2022-09,26
2022-10,22
2022-11,25
2022-12,23
2023-01,34
2023-02,30
2023-03,31
2023-04,30
2023-05,31
2023-06,29
2023-07,27
2023-08,27
2023-09,26
2023-10,25
2023-11,24
2023-12,25
2024-01,32
2024-02,28
2024-03,26
2024-04,27
2024-05,27
2024-06,26
2024-07,25
2024-08,24
2024-09,24
2024-10,27
2024-11,24
2024-12,21
2025-01,29
2025-02,27
2025-03,26
2025-04,24
2025-05,23
2025-06,22
2025-07,24
2025-08,24
