Category: All categories

Month,Desemprego + benefício social: (Brazil)
2012-03,30
2012-04,28
2012-05,29
2012-06,25
2012-07,28
2012-08,26
2012-09,24
2012-10,23
2012-11,25
2012-12,21
2013-01,29
2013-02,25
2013-03,27
2013-04,27
2013-05,26
2013-06,24
2013-07,25
2013-08,25
2013-09,26
2013-10,27
2013-11,24
2013-12,21
2014-01,32
2014-02,29
2014-03,29
2014-04,30
2014-05,30
2014-06,29
2014-07,30
2014-08,30
2014-09,32
2014-10,33
2014-11,32
2014-12,33
2015-01,52
2015-02,46
2015-03,53
2015-04,56
2015-05,55
2015-06,53
2015-07,47
2015-08,43
2015-09,42
2015-10,42
2015-11,48
2015-12,37
2016-01,37
2016-02,40
2016-03,42
2016-04,42
2016-05,43
2016-06,48
2016-07,37
2016-08,35
2016-09,32
2016-10,33
2016-11,36
2016-12,32
2017-01,43
2017-02,38
2017-03,42
2017-04,38
2017-05,37
2017-06,34
2017-07,33
2017-08,32
2017-09,30
2017-10,31
2017-11,32
2017-12,27
2018-01,37
2018-02,36
2018-03,35
2018-04,38
2018-05,37
2018-06,34
2018-07,34
2018-08,34
2018-09,30
2018-10,35
2018-11,31
2018-12,29
2019-01,37
2019-02,38
2019-03,38
2019-04,39
2019-05,39
2019-06,36
2019-07,37
2019-08,35
2019-09,35
2019-10,30
2019-11,35
2019-12,28
2020-01,39
2020-02,37
2020-03,55
2020-04,100
2020-05,71
2020-06,48
2020-07,48
2020-08,41
2020-09,40
2020-10,43
2020-11,34
2020-12,26
2021-01,34
2021-02,32
2021-03,34
2021-04,32
2021-05,30
2021-06,28
2021-07,25
2021-08,25
2021-09,24
2021-10,21
2021-11,22
2021-12,21
2022-01,32
2022-02,31
2022-03,32
2022-04,29
2022-05,30
2022-06,31
2022-07,28
2022-08,27
2022-09,28
2022-10,30
2022-11,26
2022-12,23
2023-01,31
2023-02,29
2023-03,33
2023-04,31
2023-05,33
2023-06,29
2023-07,27
2023-08,28
2023-09,27
2023-10,26
2023-11,25
2023-12,25
2024-01,30
2024-02,28
2024-03,27
2024-04,28
2024-05,28
2024-06,28
2024-07,25
2024-08,25
2024-09,25
2024-10,26
2024-11,26
2024-12,22
2025-01,29
2025-02,27
2025-03,26
2025-04,25
2025-05,23
2025-06,22
2025-07,25
2025-08,24
