Category: All categories

Month,Décimo terceiro salário: (Brazil)
2012-03,2
2012-04,2
2012-05,2
2012-06,4
2012-07,4
2012-08,3
2012-09,3
2012-10,5
2012-11,15
2012-12,13
2013-01,2
2013-02,1
2013-03,2
2013-04,2
2013-05,2
2013-06,3
2013-07,3
2013-08,4
2013-09,3
2013-10,4
2013-11,14
2013-12,12
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,8
2014-07,4
2014-08,4
2014-09,3
2014-10,5
2014-11,15
2014-12,12
2015-01,2
2015-02,2
2015-03,2
2015-04,3
2015-05,3
2015-06,8
2015-07,7
2015-08,11
2015-09,11
2015-10,6
2015-11,16
2015-12,15
2016-01,3
2016-02,3
2016-03,2
2016-04,2
2016-05,3
2016-06,5
2016-07,5
2016-08,8
2016-09,4
2016-10,6
2016-11,15
2016-12,14
2017-01,3
2017-02,2
2017-03,3
2017-04,3
2017-05,3
2017-06,4
2017-07,5
2017-08,7
2017-09,4
2017-10,7
2017-11,19
2017-12,19
2018-01,4
2018-02,3
2018-03,3
2018-04,4
2018-05,4
2018-06,7
2018-07,14
2018-08,14
2018-09,10
2018-10,16
2018-11,28
2018-12,30
2019-01,7
2019-02,3
2019-03,3
2019-04,5
2019-05,5
2019-06,8
2019-07,13
2019-08,17
2019-09,9
2019-10,15
2019-11,43
2019-12,28
2020-01,5
2020-02,3
2020-03,16
2020-04,20
2020-05,12
2020-06,9
2020-07,7
2020-08,6
2020-09,8
2020-10,12
2020-11,39
2020-12,34
2021-01,24
2021-02,31
2021-03,28
2021-04,31
2021-05,23
2021-06,11
2021-07,6
2021-08,6
2021-09,8
2021-10,15
2021-11,41
2021-12,34
2022-01,22
2022-02,21
2022-03,35
2022-04,42
2022-05,20
2022-06,12
2022-07,8
2022-08,9
2022-09,14
2022-10,32
2022-11,60
2022-12,42
2023-01,15
2023-02,11
2023-03,16
2023-04,16
2023-05,41
2023-06,22
2023-07,10
2023-08,8
2023-09,10
2023-10,21
2023-11,61
2023-12,43
2024-01,22
2024-02,28
2024-03,46
2024-04,39
2024-05,18
2024-06,11
2024-07,8
2024-08,7
2024-09,10
2024-10,33
2024-11,100
2024-12,47
2025-01,17
2025-02,16
2025-03,27
2025-04,29
2025-05,17
2025-06,11
2025-07,9
2025-08,9
