Category: All categories

Month,Décimo terceiro: (Brazil)
2012-03,1
2012-04,1
2012-05,1
2012-06,2
2012-07,2
2012-08,2
2012-09,1
2012-10,2
2012-11,7
2012-12,6
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,2
2013-08,2
2013-09,1
2013-10,2
2013-11,7
2013-12,6
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,3
2014-11,9
2014-12,8
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,3
2015-07,4
2015-08,9
2015-09,10
2015-10,5
2015-11,11
2015-12,11
2016-01,2
2016-02,1
2016-03,1
2016-04,1
2016-05,2
2016-06,3
2016-07,4
2016-08,7
2016-09,3
2016-10,4
2016-11,12
2016-12,11
2017-01,2
2017-02,1
2017-03,2
2017-04,2
2017-05,2
2017-06,4
2017-07,6
2017-08,9
2017-09,4
2017-10,7
2017-11,21
2017-12,18
2018-01,3
2018-02,2
2018-03,2
2018-04,2
2018-05,3
2018-06,5
2018-07,10
2018-08,14
2018-09,7
2018-10,14
2018-11,31
2018-12,26
2019-01,5
2019-02,3
2019-03,2
2019-04,4
2019-05,4
2019-06,8
2019-07,14
2019-08,19
2019-09,9
2019-10,20
2019-11,51
2019-12,42
2020-01,5
2020-02,5
2020-03,23
2020-04,31
2020-05,17
2020-06,9
2020-07,7
2020-08,6
2020-09,7
2020-10,17
2020-11,59
2020-12,61
2021-01,23
2021-02,35
2021-03,33
2021-04,39
2021-05,28
2021-06,15
2021-07,7
2021-08,7
2021-09,8
2021-10,17
2021-11,54
2021-12,44
2022-01,12
2022-02,17
2022-03,28
2022-04,33
2022-05,20
2022-06,12
2022-07,7
2022-08,8
2022-09,14
2022-10,46
2022-11,96
2022-12,71
2023-01,13
2023-02,11
2023-03,14
2023-04,16
2023-05,42
2023-06,31
2023-07,12
2023-08,7
2023-09,12
2023-10,30
2023-11,98
2023-12,71
2024-01,16
2024-02,20
2024-03,38
2024-04,35
2024-05,17
2024-06,11
2024-07,9
2024-08,10
2024-09,11
2024-10,36
2024-11,100
2024-12,59
2025-01,11
2025-02,12
2025-03,20
2025-04,23
2025-05,13
2025-06,9
2025-07,8
2025-08,7
