Category: All categories

Month,Empregos: (Brazil)
2012-03,79
2012-04,75
2012-05,76
2012-06,71
2012-07,70
2012-08,75
2012-09,68
2012-10,66
2012-11,61
2012-12,51
2013-01,91
2013-02,78
2013-03,74
2013-04,76
2013-05,72
2013-06,70
2013-07,72
2013-08,68
2013-09,67
2013-10,66
2013-11,58
2013-12,48
2014-01,82
2014-02,77
2014-03,72
2014-04,71
2014-05,72
2014-06,67
2014-07,75
2014-08,72
2014-09,70
2014-10,68
2014-11,63
2014-12,55
2015-01,100
2015-02,92
2015-03,94
2015-04,87
2015-05,87
2015-06,88
2015-07,87
2015-08,90
2015-09,80
2015-10,74
2015-11,67
2015-12,58
2016-01,93
2016-02,92
2016-03,87
2016-04,82
2016-05,74
2016-06,70
2016-07,69
2016-08,68
2016-09,64
2016-10,65
2016-11,59
2016-12,49
2017-01,86
2017-02,74
2017-03,72
2017-04,62
2017-05,63
2017-06,60
2017-07,58
2017-08,60
2017-09,54
2017-10,52
2017-11,49
2017-12,40
2018-01,68
2018-02,66
2018-03,58
2018-04,62
2018-05,53
2018-06,51
2018-07,57
2018-08,52
2018-09,47
2018-10,52
2018-11,47
2018-12,41
2019-01,68
2019-02,64
2019-03,58
2019-04,57
2019-05,51
2019-06,50
2019-07,54
2019-08,56
2019-09,49
2019-10,45
2019-11,42
2019-12,35
2020-01,58
2020-02,51
2020-03,38
2020-04,24
2020-05,26
2020-06,33
2020-07,33
2020-08,33
2020-09,35
2020-10,34
2020-11,31
2020-12,27
2021-01,43
2021-02,42
2021-03,36
2021-04,36
2021-05,35
2021-06,33
2021-07,32
2021-08,36
2021-09,35
2021-10,31
2021-11,31
2021-12,25
2022-01,38
2022-02,34
2022-03,32
2022-04,29
2022-05,30
2022-06,30
2022-07,27
2022-08,27
2022-09,25
2022-10,24
2022-11,23
2022-12,21
2023-01,33
2023-02,30
2023-03,28
2023-04,25
2023-05,26
2023-06,24
2023-07,25
2023-08,25
2023-09,23
2023-10,23
2023-11,20
2023-12,19
2024-01,27
2024-02,23
2024-03,21
2024-04,21
2024-05,19
2024-06,18
2024-07,18
2024-08,19
2024-09,18
2024-10,18
2024-11,16
2024-12,13
2025-01,23
2025-02,19
2025-03,19
2025-04,16
2025-05,15
2025-06,14
2025-07,15
2025-08,14
