Category: All categories

Month,Vagas: (Brazil)
2012-03,35
2012-04,31
2012-05,32
2012-06,30
2012-07,31
2012-08,32
2012-09,28
2012-10,29
2012-11,28
2012-12,22
2013-01,40
2013-02,37
2013-03,35
2013-04,34
2013-05,33
2013-06,31
2013-07,34
2013-08,33
2013-09,31
2013-10,31
2013-11,29
2013-12,24
2014-01,42
2014-02,39
2014-03,36
2014-04,35
2014-05,35
2014-06,32
2014-07,35
2014-08,35
2014-09,36
2014-10,34
2014-11,33
2014-12,27
2015-01,50
2015-02,47
2015-03,44
2015-04,43
2015-05,44
2015-06,41
2015-07,46
2015-08,44
2015-09,42
2015-10,40
2015-11,39
2015-12,32
2016-01,63
2016-02,55
2016-03,54
2016-04,48
2016-05,45
2016-06,43
2016-07,43
2016-08,40
2016-09,40
2016-10,42
2016-11,39
2016-12,31
2017-01,57
2017-02,49
2017-03,49
2017-04,39
2017-05,39
2017-06,40
2017-07,40
2017-08,45
2017-09,37
2017-10,38
2017-11,34
2017-12,28
2018-01,54
2018-02,48
2018-03,44
2018-04,42
2018-05,39
2018-06,37
2018-07,42
2018-08,41
2018-09,35
2018-10,37
2018-11,35
2018-12,31
2019-01,55
2019-02,51
2019-03,44
2019-04,43
2019-05,43
2019-06,39
2019-07,43
2019-08,100
2019-09,70
2019-10,41
2019-11,34
2019-12,31
2020-01,53
2020-02,49
2020-03,36
2020-04,22
2020-05,23
2020-06,28
2020-07,30
2020-08,31
2020-09,33
2020-10,31
2020-11,29
2020-12,26
2021-01,43
2021-02,43
2021-03,39
2021-04,35
2021-05,34
2021-06,33
2021-07,36
2021-08,36
2021-09,35
2021-10,34
2021-11,32
2021-12,27
2022-01,44
2022-02,45
2022-03,42
2022-04,38
2022-05,38
2022-06,35
2022-07,36
2022-08,36
2022-09,34
2022-10,31
2022-11,30
2022-12,27
2023-01,43
2023-02,43
2023-03,40
2023-04,36
2023-05,37
2023-06,35
2023-07,37
2023-08,38
2023-09,37
2023-10,35
2023-11,32
2023-12,30
2024-01,49
2024-02,43
2024-03,37
2024-04,39
2024-05,34
2024-06,33
2024-07,34
2024-08,35
2024-09,34
2024-10,36
2024-11,33
2024-12,29
2025-01,50
2025-02,44
2025-03,39
2025-04,36
2025-05,33
2025-06,30
2025-07,35
2025-08,33
