Category: All categories

Month,FGTS: (Brazil)
2012-03,7
2012-04,7
2012-05,6
2012-06,6
2012-07,6
2012-08,6
2012-09,6
2012-10,6
2012-11,5
2012-12,5
2013-01,7
2013-02,6
2013-03,6
2013-04,7
2013-05,7
2013-06,6
2013-07,8
2013-08,7
2013-09,8
2013-10,9
2013-11,10
2013-12,8
2014-01,12
2014-02,14
2014-03,10
2014-04,8
2014-05,8
2014-06,8
2014-07,10
2014-08,8
2014-09,8
2014-10,7
2014-11,7
2014-12,7
2015-01,10
2015-02,11
2015-03,11
2015-04,11
2015-05,12
2015-06,10
2015-07,11
2015-08,10
2015-09,10
2015-10,10
2015-11,9
2015-12,8
2016-01,9
2016-02,9
2016-03,10
2016-04,9
2016-05,8
2016-06,9
2016-07,9
2016-08,8
2016-09,8
2016-10,8
2016-11,8
2016-12,25
2017-01,36
2017-02,100
2017-03,51
2017-04,29
2017-05,27
2017-06,24
2017-07,16
2017-08,12
2017-09,8
2017-10,9
2017-11,8
2017-12,7
2018-01,8
2018-02,8
2018-03,8
2018-04,8
2018-05,7
2018-06,8
2018-07,8
2018-08,10
2018-09,10
2018-10,8
2018-11,7
2018-12,7
2019-01,9
2019-02,9
2019-03,8
2019-04,8
2019-05,9
2019-06,11
2019-07,43
2019-08,38
2019-09,38
2019-10,29
2019-11,31
2019-12,36
2020-01,15
2020-02,10
2020-03,20
2020-04,24
2020-05,20
2020-06,44
2020-07,40
2020-08,29
2020-09,22
2020-10,14
2020-11,10
2020-12,10
2021-01,10
2021-02,10
2021-03,9
2021-04,10
2021-05,16
2021-06,10
2021-07,10
2021-08,14
2021-09,11
2021-10,9
2021-11,8
2021-12,9
2022-01,13
2022-02,13
2022-03,18
2022-04,23
2022-05,20
2022-06,13
2022-07,10
2022-08,9
2022-09,8
2022-10,8
2022-11,7
2022-12,9
2023-01,11
2023-02,10
2023-03,11
2023-04,12
2023-05,10
2023-06,9
2023-07,11
2023-08,10
2023-09,9
2023-10,9
2023-11,9
2023-12,8
2024-01,9
2024-02,10
2024-03,11
2024-04,13
2024-05,12
2024-06,11
2024-07,10
2024-08,11
2024-09,10
2024-10,10
2024-11,9
2024-12,10
2025-01,11
2025-02,13
2025-03,16
2025-04,11
2025-05,10
2025-06,10
2025-07,11
2025-08,10
