Category: All categories

Month,Saque FGTS: (Brazil)
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,2
2015-05,1
2015-06,1
2015-07,2
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,2
2016-04,2
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,12
2017-01,26
2017-02,46
2017-03,14
2017-04,12
2017-05,13
2017-06,13
2017-07,6
2017-08,2
2017-09,2
2017-10,3
2017-11,2
2017-12,2
2018-01,3
2018-02,2
2018-03,2
2018-04,4
2018-05,2
2018-06,3
2018-07,2
2018-08,3
2018-09,3
2018-10,2
2018-11,2
2018-12,2
2019-01,3
2019-02,2
2019-03,2
2019-04,2
2019-05,3
2019-06,5
2019-07,51
2019-08,63
2019-09,62
2019-10,56
2019-11,72
2019-12,83
2020-01,20
2020-02,13
2020-03,34
2020-04,45
2020-05,41
2020-06,100
2020-07,65
2020-08,53
2020-09,38
2020-10,21
2020-11,14
2020-12,14
2021-01,15
2021-02,15
2021-03,13
2021-04,14
2021-05,14
2021-06,13
2021-07,12
2021-08,15
2021-09,12
2021-10,10
2021-11,9
2021-12,9
2022-01,14
2022-02,15
2022-03,39
2022-04,57
2022-05,45
2022-06,23
2022-07,12
2022-08,12
2022-09,9
2022-10,9
2022-11,9
2022-12,12
2023-01,17
2023-02,14
2023-03,13
2023-04,12
2023-05,12
2023-06,11
2023-07,11
2023-08,11
2023-09,11
2023-10,11
2023-11,10
2023-12,9
2024-01,12
2024-02,12
2024-03,11
2024-04,10
2024-05,14
2024-06,11
2024-07,9
2024-08,9
2024-09,10
2024-10,9
2024-11,8
2024-12,8
2025-01,11
2025-02,16
2025-03,21
2025-04,10
2025-05,9
2025-06,10
2025-07,10
2025-08,9
