Category: All categories

Month,INSS: (Brazil)
2012-03,66
2012-04,48
2012-05,40
2012-06,37
2012-07,42
2012-08,44
2012-09,36
2012-10,35
2012-11,36
2012-12,34
2013-01,52
2013-02,45
2013-03,48
2013-04,49
2013-05,39
2013-06,37
2013-07,42
2013-08,51
2013-09,40
2013-10,39
2013-11,40
2013-12,34
2014-01,49
2014-02,48
2014-03,45
2014-04,51
2014-05,43
2014-06,44
2014-07,46
2014-08,48
2014-09,45
2014-10,40
2014-11,44
2014-12,42
2015-01,57
2015-02,52
2015-03,55
2015-04,57
2015-05,43
2015-06,44
2015-07,56
2015-08,56
2015-09,57
2015-10,46
2015-11,47
2015-12,57
2016-01,89
2016-02,72
2016-03,55
2016-04,56
2016-05,67
2016-06,58
2016-07,40
2016-08,45
2016-09,41
2016-10,39
2016-11,40
2016-12,38
2017-01,51
2017-02,41
2017-03,49
2017-04,46
2017-05,41
2017-06,40
2017-07,39
2017-08,48
2017-09,38
2017-10,38
2017-11,40
2017-12,37
2018-01,48
2018-02,54
2018-03,60
2018-04,67
2018-05,54
2018-06,50
2018-07,57
2018-08,62
2018-09,56
2018-10,54
2018-11,51
2018-12,51
2019-01,69
2019-02,70
2019-03,68
2019-04,68
2019-05,65
2019-06,61
2019-07,71
2019-08,74
2019-09,69
2019-10,72
2019-11,66
2019-12,59
2020-01,80
2020-02,81
2020-03,87
2020-04,80
2020-05,75
2020-06,69
2020-07,67
2020-08,65
2020-09,73
2020-10,73
2020-11,68
2020-12,65
2021-01,84
2021-02,84
2021-03,81
2021-04,79
2021-05,83
2021-06,74
2021-07,69
2021-08,64
2021-09,68
2021-10,64
2021-11,65
2021-12,69
2022-01,88
2022-02,90
2022-03,100
2022-04,82
2022-05,77
2022-06,70
2022-07,71
2022-08,73
2022-09,98
2022-10,78
2022-11,78
2022-12,65
2023-01,82
2023-02,73
2023-03,79
2023-04,70
2023-05,83
2023-06,68
2023-07,62
2023-08,60
2023-09,56
2023-10,59
2023-11,59
2023-12,59
2024-01,91
2024-02,72
2024-03,69
2024-04,72
2024-05,67
2024-06,61
2024-07,63
2024-08,59
2024-09,58
2024-10,54
2024-11,58
2024-12,54
2025-01,72
2025-02,70
2025-03,70
2025-04,84
2025-05,96
2025-06,65
2025-07,81
2025-08,71
