Category: All categories

Month,Aposentadoria: (Brazil)
2012-03,38
2012-04,37
2012-05,35
2012-06,33
2012-07,34
2012-08,35
2012-09,30
2012-10,29
2012-11,32
2012-12,25
2013-01,33
2013-02,32
2013-03,32
2013-04,38
2013-05,35
2013-06,29
2013-07,30
2013-08,35
2013-09,31
2013-10,32
2013-11,31
2013-12,28
2014-01,33
2014-02,33
2014-03,33
2014-04,35
2014-05,36
2014-06,31
2014-07,33
2014-08,34
2014-09,35
2014-10,34
2014-11,33
2014-12,31
2015-01,38
2015-02,42
2015-03,48
2015-04,41
2015-05,54
2015-06,75
2015-07,42
2015-08,37
2015-09,35
2015-10,36
2015-11,45
2015-12,30
2016-01,40
2016-02,43
2016-03,41
2016-04,44
2016-05,52
2016-06,40
2016-07,47
2016-08,49
2016-09,57
2016-10,44
2016-11,38
2016-12,66
2017-01,46
2017-02,47
2017-03,56
2017-04,58
2017-05,49
2017-06,37
2017-07,39
2017-08,45
2017-09,39
2017-10,39
2017-11,45
2017-12,38
2018-01,44
2018-02,50
2018-03,48
2018-04,49
2018-05,46
2018-06,43
2018-07,48
2018-08,49
2018-09,46
2018-10,49
2018-11,50
2018-12,49
2019-01,69
2019-02,100
2019-03,61
2019-04,57
2019-05,53
2019-06,48
2019-07,80
2019-08,55
2019-09,49
2019-10,61
2019-11,55
2019-12,40
2020-01,54
2020-02,46
2020-03,45
2020-04,38
2020-05,37
2020-06,40
2020-07,40
2020-08,38
2020-09,42
2020-10,36
2020-11,33
2020-12,34
2021-01,45
2021-02,44
2021-03,40
2021-04,40
2021-05,42
2021-06,42
2021-07,41
2021-08,42
2021-09,42
2021-10,39
2021-11,39
2021-12,37
2022-01,53
2022-02,54
2022-03,52
2022-04,45
2022-05,49
2022-06,44
2022-07,46
2022-08,47
2022-09,48
2022-10,42
2022-11,43
2022-12,45
2023-01,54
2023-02,49
2023-03,53
2023-04,47
2023-05,52
2023-06,45
2023-07,50
2023-08,48
2023-09,47
2023-10,44
2023-11,41
2023-12,47
2024-01,56
2024-02,54
2024-03,48
2024-04,51
2024-05,52
2024-06,55
2024-07,55
2024-08,53
2024-09,47
2024-10,49
2024-11,49
2024-12,45
2025-01,62
2025-02,56
2025-03,56
2025-04,57
2025-05,56
2025-06,49
2025-07,56
2025-08,53
